persona_item,category,confidence_score_init,source_interaction_type,source_object_id,source_timestamp,formatted_timestamp,source_hashtags,interaction_format,confidence_cross_referenced,relationship_type,related_personas,stereotype_mark,split,distractor_persona_item,distractor_category
Enjoys home cooking and preparing family meals,home cooking and food,0.81,implicit_positive,691531,1775235998,"17:06, 04/03/2026","[""#dessertlover"", ""#foodie""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys home cooking and preparing family meals"", ""type"": ""similar""}]",stereotypical,train,,
Seeks easy recipe inspiration online,home cooking and food,0.75,implicit_positive,691531,1775235998,"17:06, 04/03/2026","[""#dessertlover"", ""#foodie""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Seeks easy recipe inspiration online"", ""type"": ""similar""}]",neutral,train,,
Appreciates food content that feels homemade and wholesome,home cooking and food,0.71,implicit_positive,691531,1775235998,"17:06, 04/03/2026","[""#dessertlover"", ""#foodie""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Appreciates food content that feels homemade and wholesome"", ""type"": ""similar""}]",neutral,train,,
Values cooking as an act of love and family care,home cooking and food,0.69,implicit_positive,691531,1775235998,"17:06, 04/03/2026","[""#dessertlover"", ""#foodie""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values cooking as an act of love and family care"", ""type"": ""similar""}]",stereotypical,train,,
Has a sweet tooth and enjoys desserts,home cooking and food,0.58,implicit_positive,691531,1775235998,"17:06, 04/03/2026","[""#dessertlover"", ""#foodie""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Has a sweet tooth and enjoys desserts"", ""type"": ""similar""}]",neutral,train,,
Invested in romantic relationship content,romantic couple relationships,0.78,implicit_positive,691531,1775235998,"17:06, 04/03/2026","[""#chocolatelover""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Invested in romantic relationship content"", ""type"": ""similar""}]",neutral,train,,
Values long-term committed partnerships,romantic couple relationships,0.72,implicit_positive,691531,1775235998,"17:06, 04/03/2026","[""#chocolatelover""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values long-term committed partnerships"", ""type"": ""similar""}]",neutral,train,,
Enjoys aspirational couple imagery and moments,romantic couple relationships,0.66,implicit_positive,691531,1775235998,"17:06, 04/03/2026","[""#chocolatelover""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys aspirational couple imagery and moments"", ""type"": ""similar""}]",neutral,train,,
Finds humor in everyday couple dynamics,romantic couple relationships,0.65,implicit_positive,691531,1775235998,"17:06, 04/03/2026","[""#chocolatelover""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Finds humor in everyday couple dynamics"", ""type"": ""similar""}]",neutral,train,,
Enjoys nostalgic throwback content from earlier eras,nostalgia and throwback memories,0.65,implicit_positive,703086,1775236018,"17:06, 04/03/2026","[""#Nostalgia"", ""#Throwback""]",Chatbot (multilingual translation): liked,1.0,similar,"[{""persona_item"": ""Enjoys nostalgic throwback content from earlier eras"", ""type"": ""similar""}]",neutral,train,,
Values memory-keeping and shared cultural references,nostalgia and throwback memories,0.61,implicit_positive,703086,1775236018,"17:06, 04/03/2026","[""#Nostalgia"", ""#Throwback""]",Chatbot (multilingual translation): liked,1.0,similar,"[{""persona_item"": ""Values memory-keeping and shared cultural references"", ""type"": ""similar""}]",neutral,train,,
"Enjoys wholesome, heartwarming feel-good content",heartwarming and feel-good content,0.72,implicit_positive,975266,1775239894,"18:11, 04/03/2026","[""#heartwarming""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys wholesome, heartwarming feel-good content"", ""type"": ""similar""}]",neutral,train,,
Responds emotionally to touching or inspirational stories,heartwarming and feel-good content,0.58,implicit_positive,975266,1775239894,"18:11, 04/03/2026","[""#heartwarming""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Responds emotionally to touching or inspirational stories"", ""type"": ""similar""}]",neutral,train,,
Actively engaged in daily motherhood experiences,motherhood and parenting,0.82,implicit_positive,975266,1775239894,"18:11, 04/03/2026","[""#dadmoments""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Actively engaged in daily motherhood experiences"", ""type"": ""similar""}]",stereotypical,train,,
Parenting young children at home,motherhood and parenting,0.78,implicit_positive,975266,1775239894,"18:11, 04/03/2026","[""#dadmoments""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Parenting young children at home"", ""type"": ""similar""}]",neutral,train,,
Follows mom-oriented lifestyle content creators,motherhood and parenting,0.75,implicit_positive,975266,1775239894,"18:11, 04/03/2026","[""#dadmoments""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows mom-oriented lifestyle content creators"", ""type"": ""similar""}]",neutral,train,,
"Values sharing candid, real-life parenting moments",motherhood and parenting,0.68,implicit_positive,975266,1775239894,"18:11, 04/03/2026","[""#dadmoments""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values sharing candid, real-life parenting moments"", ""type"": ""similar""}]",neutral,train,,
Identifies strongly with a community of mothers online,motherhood and parenting,0.72,implicit_positive,975266,1775239894,"18:11, 04/03/2026","[""#dadmoments""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Identifies strongly with a community of mothers online"", ""type"": ""similar""}]",neutral,train,,
Seeks practical parenting tips and hacks,parenting and child-rearing,0.7,implicit_positive,975266,1775239894,"18:11, 04/03/2026","[""#parenting""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Seeks practical parenting tips and hacks"", ""type"": ""similar""}]",neutral,train,,
Enjoys humor that pokes fun at the chaos of parenting,parenting and child-rearing,0.72,implicit_positive,975266,1775239894,"18:11, 04/03/2026","[""#parenting""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys humor that pokes fun at the chaos of parenting"", ""type"": ""similar""}]",neutral,train,,
Feels validated by content about parenting struggles,parenting and child-rearing,0.65,implicit_positive,975266,1775239894,"18:11, 04/03/2026","[""#parenting""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Feels validated by content about parenting struggles"", ""type"": ""similar""}]",neutral,train,,
Looks for relatable everyday parenting stories,parenting and child-rearing,0.7,implicit_positive,975266,1775239894,"18:11, 04/03/2026","[""#parenting""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Looks for relatable everyday parenting stories"", ""type"": ""similar""}]",neutral,train,,
Centers family togetherness as a core value,family bonding and togetherness,0.8,implicit_positive,975266,1775239894,"18:11, 04/03/2026","[""#familylove""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Centers family togetherness as a core value"", ""type"": ""similar""}]",stereotypical,train,,
Enjoys wholesome family-activity content,family bonding and togetherness,0.72,implicit_positive,975266,1775239894,"18:11, 04/03/2026","[""#familylove""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys wholesome family-activity content"", ""type"": ""similar""}]",neutral,train,,
Aspires to strong family traditions and shared routines,family bonding and togetherness,0.68,implicit_positive,975266,1775239894,"18:11, 04/03/2026","[""#familylove""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Aspires to strong family traditions and shared routines"", ""type"": ""similar""}]",stereotypical,train,,
Invested in romantic relationship content,romantic couple relationships,0.78,implicit_positive,201252,1775239904,"18:11, 04/03/2026","[""#chocolatelover""]",Chatbot (composing chat messages): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Invested in romantic relationship content"", ""type"": ""similar""}]",neutral,train,,
Values long-term committed partnerships,romantic couple relationships,0.72,implicit_positive,201252,1775239904,"18:11, 04/03/2026","[""#chocolatelover""]",Chatbot (composing chat messages): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Values long-term committed partnerships"", ""type"": ""similar""}]",neutral,train,,
Enjoys aspirational couple imagery and moments,romantic couple relationships,0.66,implicit_positive,201252,1775239904,"18:11, 04/03/2026","[""#chocolatelover""]",Chatbot (composing chat messages): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Enjoys aspirational couple imagery and moments"", ""type"": ""similar""}]",neutral,train,,
Finds humor in everyday couple dynamics,romantic couple relationships,0.65,implicit_positive,201252,1775239904,"18:11, 04/03/2026","[""#chocolatelover""]",Chatbot (composing chat messages): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Finds humor in everyday couple dynamics"", ""type"": ""similar""}]",neutral,train,,
Enjoys home cooking and preparing family meals,home cooking and food,0.83,implicit_positive,201252,1775239904,"18:11, 04/03/2026","[""#asmrfood"", ""#dessertinspiration"", ""#foodart""]",Chatbot (composing chat messages): positive response/comments to weak extent in next turn,1.0,similar,"[{""persona_item"": ""Enjoys home cooking and preparing family meals"", ""type"": ""similar""}]",stereotypical,train,,
