persona_item,category,confidence_score_init,source_interaction_type,source_object_id,source_timestamp,formatted_timestamp,source_hashtags,interaction_format,confidence_cross_referenced,relationship_type,related_personas,stereotype_mark,overpersonalization
May prefer watching behind-the-scenes filmmaking content,filmmaking,0.10,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#MovieMagic""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May enjoy visual effects and CGI breakdowns,visual effects,0.08,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#MovieMagic""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May prefer blockbuster cinema over indie films,film genre preferences,0.07,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#MovieMagic""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May be interested in film production techniques,film production,0.09,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#MovieMagic""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May prefer binge-watching film series or franchises,film consumption habits,0.08,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#FilmFrenzy""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May enjoy participating in movie marathon events,entertainment events,0.07,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#FilmFrenzy""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May prefer discussing new film releases with peers,social film discussion,0.10,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#FilmFrenzy""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May prefer joining online film discussion groups,online communities,0.09,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#CinephileCommunity""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May enjoy classic and arthouse cinema,arthouse cinema,0.08,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#CinephileCommunity""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May be interested in film festival culture,film festivals,0.07,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#CinephileCommunity""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May prefer curated film recommendation lists,film curation,0.10,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#CinephileCommunity""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May prefer mystery and whodunit film genres,mystery genre,0.12,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#MysteryMonday""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May enjoy true crime documentaries and podcasts,true crime media,0.09,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#MysteryMonday""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May prefer themed weekly content schedules,content scheduling,0.06,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#MysteryMonday""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May be interested in detective fiction and noir films,detective fiction,0.11,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#MysteryMonday""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May prefer psychological thriller films,psychological thrillers,0.13,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#SuspenseLovers""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May enjoy suspenseful TV series like limited-run thrillers,thriller TV series,0.10,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#SuspenseLovers""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
May prefer plot-driven narratives over character studies,narrative preferences,0.08,implicit_negative,122137705994805152,1758534008,"09:40, 09/22/2025","[""#SuspenseLovers""]",Instagram: skipped the reel with no interactions,0.0,none,[],neutral,no
