persona_item,category,confidence_score_init,confidence_cross_referenced,corroboration_count,source_interaction_type,source_object_id,source_timestamp,formatted_timestamp,source_hashtags,assigned_app,interaction_format,relationship_type,related_personas,stereotype_mark,split,distractor_persona_item,distractor_category
"Enjoys wholesome, heartwarming feel-good content",heartwarming and feel-good content,0.8,1.0,48,explicit_positive,458878,1775282215,"05:56, 04/04/2026","[""#heartwarmingmoments"", ""#love""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_love"", ""action_label"": ""Loved (❤)"", ""user_message"": null}",none,[],neutral,train,,
Cherishes the bond between mothers and daughters,mother-daughter relationships,0.8,0.7,8,explicit_positive,7306,1775283894,"06:24, 04/04/2026","[""#daughterlove"", ""#motherdaughter""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_care"", ""action_label"": ""Care reaction"", ""user_message"": null}",none,[],stereotypical,train,,
Enjoys beauty and nail-art content,"beauty, nails, and personal style",0.8,1.0,79,explicit_positive,378709,1775283922,"06:25, 04/04/2026","[""#BeautyInspo"", ""#BloodSplatterNails"", ""#HalloweenNails"", ""#LansingNailTech"", ""#NailArt"", ""#NailTech""]",Instagram,"{""app"": ""Instagram"", ""action"": ""saved_to_collection"", ""action_label"": ""Saved to a collection"", ""user_message"": null}",none,[],stereotypical,train,,
Enjoys humor that pokes fun at the chaos of parenting,parenting and child-rearing,0.82,1.0,46,explicit_positive,852680,1775284138,"06:28, 04/04/2026","[""#coparent"", ""#coparenting"", ""#parentinghacks""]",Threads,"{""app"": ""Threads"", ""action"": ""liked"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,train,,
Looks for relatable everyday parenting stories,parenting and child-rearing,0.8,1.0,46,explicit_positive,852680,1775284138,"06:28, 04/04/2026","[""#coparent"", ""#coparenting"", ""#parentinghacks""]",Facebook,"{""app"": ""Facebook"", ""action"": ""commented"", ""action_label"": ""Commented"", ""user_message"": null}",none,[],neutral,train,,
Seeks practical parenting tips and hacks,parenting and child-rearing,0.8,1.0,46,explicit_positive,852680,1775284138,"06:28, 04/04/2026","[""#coparent"", ""#coparenting"", ""#parentinghacks""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""at_ai_recommend_more"", ""action_label"": ""@ai steering: asked for MORE of this type"", ""user_message"": ""@ai can you keep pulling together quick practical toddler parenting hacks for single-income households — especially time-savers for mornings and bath time? I want things I can do tonight, not theory.""}",none,[],neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.88,1.0,138,explicit_positive,666394,1775284233,"06:30, 04/04/2026","[""#ComedyGold"", ""#ComedyShow"", ""#LaughOutLoud""]",Instagram,"{""app"": ""Instagram"", ""action"": ""double_tapped"", ""action_label"": ""Double-tapped to like"", ""user_message"": null}",none,[],neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.9,1.0,138,explicit_positive,666394,1775284233,"06:30, 04/04/2026","[""#ComedyGold"", ""#ComedyShow"", ""#LaughOutLoud""]",Instagram,"{""app"": ""Instagram"", ""action"": ""rewatched_reel"", ""action_label"": ""Rewatched the reel"", ""user_message"": null}",none,[],neutral,train,,
Deeply invested in hair care and styling routines,hair care and styling,0.9,1.0,51,explicit_positive,351857,1775425071,"21:37, 04/05/2026","[""#BraidingCommunity"", ""#BraidsByTiara"", ""#CrownBraid"", ""#HairBraiding"", ""#HairInspo"", ""#HairTutorial""]",Instagram,"{""app"": ""Instagram"", ""action"": ""saved_to_collection"", ""action_label"": ""Saved to a collection"", ""user_message"": null}",none,[],neutral,train,,
Follows hairstylists and salon professionals,hair care and styling,0.85,1.0,51,explicit_positive,351857,1775425071,"21:37, 04/05/2026","[""#BraidingCommunity"", ""#BraidsByTiara"", ""#CrownBraid"", ""#HairBraiding"", ""#HairInspo"", ""#HairTutorial""]",Instagram,"{""app"": ""Instagram"", ""action"": ""followed_creator"", ""action_label"": ""Followed the creator"", ""user_message"": null}",none,[],neutral,train,,
Interested in protective natural hair styles like braids and weaves,hair care and styling,0.8,1.0,51,explicit_positive,351857,1775425071,"21:37, 04/05/2026","[""#BraidingCommunity"", ""#BraidsByTiara"", ""#CrownBraid"", ""#HairBraiding"", ""#HairInspo"", ""#HairTutorial""]",Instagram,"{""app"": ""Instagram"", ""action"": ""viewed_reel_75"", ""action_label"": ""Viewed more than 75% of the reel"", ""user_message"": null}",none,[],anti-stereotypical,train,,
Enjoys home cooking and preparing family meals,home cooking and food,0.88,1.0,66,explicit_positive,800862,1775498866,"18:07, 04/06/2026","[""#cookingtutorial"", ""#foodie"", ""#homcooking""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_love"", ""action_label"": ""Loved (❤)"", ""user_message"": null}",none,[],stereotypical,train,,
Seeks easy recipe inspiration online,home cooking and food,0.82,1.0,66,explicit_positive,800862,1775498866,"18:07, 04/06/2026","[""#cookingtutorial"", ""#foodie"", ""#homcooking""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""at_ai_focus_topic"", ""action_label"": ""@ai steering: asked to focus on this topic"", ""user_message"": ""@ai for the rest of tonight can you just focus on easy 30-minute weeknight dinners a toddler will eat — Mexican-leaning flavors if possible, nothing that needs fancy appliances or a Whole Foods run.""}",none,[],neutral,train,,
Invested in romantic relationship content,romantic couple relationships,0.88,1.0,116,explicit_positive,660847,1775561196,"11:26, 04/07/2026","[""#couplelife"", ""#loveinthelittlethings"", ""#relationshipgoals"", ""#skincarelove""]",Instagram,"{""app"": ""Instagram"", ""action"": ""viewed_reel_75"", ""action_label"": ""Viewed more than 75% of the reel"", ""user_message"": null}",none,[],neutral,train,,
Values long-term committed partnerships,romantic couple relationships,0.82,1.0,116,explicit_positive,660847,1775561196,"11:26, 04/07/2026","[""#couplelife"", ""#loveinthelittlethings"", ""#relationshipgoals"", ""#skincarelove""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""at_ai_recommend_more"", ""action_label"": ""@ai steering: asked for MORE of this type"", ""user_message"": ""@ai pull up more stuff on what long-haul commitment looks like when one partner is going through a really hard stretch — real-people essays or therapist takes, not self-help cheese.""}",none,[],neutral,train,,
Spends time scrolling trending short-form video content,viral and trending social content,0.8,1.0,68,explicit_positive,674520,1775561218,"11:26, 04/07/2026","[""#ComingSoon"", ""#NewEpisode""]",Instagram,"{""app"": ""Instagram"", ""action"": ""lingered_on_image"", ""action_label"": ""Stayed on an image for more than 5 seconds"", ""user_message"": null}",none,[],neutral,train,,
Actively engaged in daily motherhood experiences,motherhood and parenting,0.92,1.0,260,explicit_positive,562132,1775562389,"11:46, 04/07/2026","[""#DanceMom"", ""#MomLife"", ""#ProtectiveMom""]",Instagram,"{""app"": ""Instagram"", ""action"": ""shared_to_close_friends_story"", ""action_label"": ""Shared to Close Friends story"", ""user_message"": null}",none,[],stereotypical,train,,
Follows mom-oriented lifestyle content creators,motherhood and parenting,0.85,1.0,176,explicit_positive,562132,1775562389,"11:46, 04/07/2026","[""#DanceMom"", ""#MomLife"", ""#ProtectiveMom""]",Facebook,"{""app"": ""Facebook"", ""action"": ""quote_reposted"", ""action_label"": ""Reposted with a quote"", ""user_message"": null}",none,[],neutral,test,Follows hairstylists and salon professionals,hair care and styling
Centers family togetherness as a core value,family bonding and togetherness,0.9,1.0,42,explicit_positive,604072,1775795013,"04:23, 04/10/2026","[""#FamilyFun"", ""#FamilyGoals"", ""#FamilyPhotoshoot""]",Facebook,"{""app"": ""Facebook"", ""action"": ""shared_to_timeline"", ""action_label"": ""Shared to own timeline"", ""user_message"": null}",none,[],stereotypical,test,Uses humor content as a mood-lifter throughout the day,comedy and humor content
Enjoys wholesome family-activity content,family bonding and togetherness,0.82,1.0,42,explicit_positive,604072,1775795013,"04:23, 04/10/2026","[""#FamilyFun"", ""#FamilyGoals"", ""#FamilyPhotoshoot""]",Facebook,"{""app"": ""Facebook"", ""action"": ""saved_post"", ""action_label"": ""Saved the post"", ""user_message"": null}",none,[],neutral,test,Looks for relatable everyday parenting stories,parenting and child-rearing
Likely identifies as a woman and connects with empowerment messaging,women's empowerment,0.85,1.0,46,explicit_positive,944568,1775796095,"04:41, 04/10/2026","[""#EmpoweredWomenEmpowerWomen"", ""#GirlPower"", ""#WomenSupportingWomen""]",Instagram,"{""app"": ""Instagram"", ""action"": ""followed_creator"", ""action_label"": ""Followed the creator"", ""user_message"": null}",none,[],neutral,test,Enjoys beauty and nail-art content,"beauty, nails, and personal style"
