persona_item,category,confidence_score_init,confidence_cross_referenced,source_interaction_type,source_object_id,source_timestamp,formatted_timestamp,source_hashtags,assigned_app,interaction_format,relationship_type,related_personas,stereotype_mark,split,over_personalization_irrelevant,over_personalization_irrelevant_category
"Enjoys wholesome, heartwarming feel-good content",heartwarming and feel-good content,0.8,48.0,explicit_positive,458878,1775282215,"05:56, 04/04/2026","[""#heartwarmingmoments"", ""#love""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_like"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,train,,
Responds emotionally to touching or inspirational stories,heartwarming and feel-good content,0.66,48.0,explicit_positive,458878,1775282215,"05:56, 04/04/2026","[""#heartwarmingmoments"", ""#love""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_love"", ""action_label"": ""Loved (❤)"", ""user_message"": null}",none,[],neutral,train,,
Cherishes the bond between mothers and daughters,mother-daughter relationships,0.8,8.0,explicit_positive,7306,1775283894,"06:24, 04/04/2026","[""#daughterlove"", ""#motherdaughter""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_like"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],stereotypical,train,,
Likely has a daughter or close maternal-female relationship,mother-daughter relationships,0.68,8.0,explicit_positive,7306,1775283894,"06:24, 04/04/2026","[""#daughterlove"", ""#motherdaughter""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_haha"", ""action_label"": ""Hahaha reaction"", ""user_message"": null}",none,[],neutral,train,,
Enjoys beauty and nail-art content,"beauty, nails, and personal style",0.8,79.0,explicit_positive,378709,1775283922,"06:25, 04/04/2026","[""#BeautyInspo"", ""#BloodSplatterNails"", ""#HalloweenNails"", ""#LansingNailTech"", ""#NailArt"", ""#NailTech""]",Instagram,"{""app"": ""Instagram"", ""action"": ""double_tapped"", ""action_label"": ""Double-tapped to like"", ""user_message"": null}",none,[],stereotypical,train,,
Enjoys seasonal Halloween and fall-themed content,Halloween and seasonal fall content,0.55,8.0,explicit_positive,378709,1775283922,"06:25, 04/04/2026","[""#SpookySeason""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_haha"", ""action_label"": ""Hahaha reaction"", ""user_message"": null}",none,[],neutral,train,,
Keeps up with fashion and personal style inspiration,"beauty, nails, and personal style",0.7,79.0,explicit_positive,378709,1775283922,"06:25, 04/04/2026","[""#BeautyInspo"", ""#BloodSplatterNails"", ""#HalloweenNails"", ""#LansingNailTech"", ""#NailArt"", ""#NailTech""]",Instagram,"{""app"": ""Instagram"", ""action"": ""followed_creator"", ""action_label"": ""Followed the creator"", ""user_message"": null}",none,[],neutral,train,,
"Values presenting a polished, put-together look","beauty, nails, and personal style",0.68,79.0,explicit_positive,378709,1775283922,"06:25, 04/04/2026","[""#BeautyInspo"", ""#BloodSplatterNails"", ""#HalloweenNails"", ""#LansingNailTech"", ""#NailArt"", ""#NailTech""]",Instagram,"{""app"": ""Instagram"", ""action"": ""followed_creator"", ""action_label"": ""Followed the creator"", ""user_message"": null}",none,[],neutral,train,,
Likely has or loves dogs as part of the family,pets and dog ownership,0.66,9.0,explicit_positive,363237,1775284026,"06:27, 04/04/2026","[""#dogmom"", ""#dogsofinstagram""]",Facebook,"{""app"": ""Facebook"", ""action"": ""at_ai_not_interested"", ""action_label"": ""@ai reply: told the in-feed assistant they're not interested"", ""user_message"": ""@ai not in the market for a dog right now, we can barely handle the toddler. Please stop showing me adoptable-pet posts for a bit.""}",none,[],neutral,train,,
Enjoys humor that pokes fun at the chaos of parenting,parenting and child-rearing,0.82,45.0,explicit_positive,852680,1775284138,"06:28, 04/04/2026","[""#coparent"", ""#coparenting"", ""#parentinghacks""]",Threads,"{""app"": ""Threads"", ""action"": ""liked"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,train,,
Feels validated by content about parenting struggles,parenting and child-rearing,0.75,45.0,explicit_positive,852680,1775284138,"06:28, 04/04/2026","[""#coparent"", ""#coparenting"", ""#parentinghacks""]",Threads,"{""app"": ""Threads"", ""action"": ""followed_author"", ""action_label"": ""Followed the author"", ""user_message"": null}",none,[],neutral,train,,
Finds comfort in 'that's so me' style posts,relatable everyday content,0.7,52.0,explicit_positive,852680,1775284138,"06:28, 04/04/2026","[""#relatable""]",Threads,"{""app"": ""Threads"", ""action"": ""liked"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,train,,
Gravitates toward content that mirrors everyday life experiences,relatable everyday content,0.77,52.0,explicit_positive,852680,1775284138,"06:28, 04/04/2026","[""#relatable""]",Threads,"{""app"": ""Threads"", ""action"": ""replied"", ""action_label"": ""Replied"", ""user_message"": null}",none,[],neutral,train,,
Looks for relatable everyday parenting stories,parenting and child-rearing,0.8,45.0,explicit_positive,852680,1775284138,"06:28, 04/04/2026","[""#coparent"", ""#coparenting"", ""#parentinghacks""]",Facebook,"{""app"": ""Facebook"", ""action"": ""reacted_like"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,train,,
Seeks practical parenting tips and hacks,parenting and child-rearing,0.8,45.0,explicit_positive,852680,1775284138,"06:28, 04/04/2026","[""#coparent"", ""#coparenting"", ""#parentinghacks""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""asked_followup"", ""action_label"": ""Asked a follow-up question showing interest"", ""user_message"": ""Can you keep pulling together quick practical toddler parenting hacks for single-income households? Especially morning-routine and bath-time time-savers — stuff I can try tonight, not theory.""}",none,[],neutral,train,,
"Appreciates wholesome, light-hearted humor over edgy comedy",comedy and humor content,0.72,138.0,explicit_positive,666394,1775284233,"06:30, 04/04/2026","[""#ComedyGold"", ""#ComedyShow"", ""#LaughOutLoud""]",Threads,"{""app"": ""Threads"", ""action"": ""replied"", ""action_label"": ""Replied"", ""user_message"": null}",none,[],neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.88,138.0,explicit_positive,666394,1775284233,"06:30, 04/04/2026","[""#ComedyGold"", ""#ComedyShow"", ""#LaughOutLoud""]",Instagram,"{""app"": ""Instagram"", ""action"": ""reacted_to_story"", ""action_label"": ""Reacted to the story"", ""user_message"": null}",none,[],neutral,train,,
Follows comedy creators and prank content,comedy and humor content,0.7,138.0,explicit_positive,666394,1775284233,"06:30, 04/04/2026","[""#ComedyGold"", ""#ComedyShow"", ""#LaughOutLoud""]",Threads,"{""app"": ""Threads"", ""action"": ""reposted"", ""action_label"": ""Reposted"", ""user_message"": null}",none,[],neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.9,138.0,explicit_positive,666394,1775284233,"06:30, 04/04/2026","[""#ComedyGold"", ""#ComedyShow"", ""#LaughOutLoud""]",Instagram,"{""app"": ""Instagram"", ""action"": ""double_tapped"", ""action_label"": ""Double-tapped to like"", ""user_message"": null}",none,[],neutral,train,,
Engages with prison-wife / incarcerated-partner support content,prison wife and long-distance relationships,0.6,3.0,implicit_positive,653868,1775309271,"13:27, 04/04/2026","[""#prisonwife""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""asked_followup"", ""action_label"": ""Asked a follow-up question showing interest"", ""user_message"": ""Pull more from other prison wives — commissary tips, visitation prep, how people handle birthdays alone. I want other women's voices, not news pieces or legal takes.""}",none,[],neutral,train,,
May have a partner who is currently incarcerated,prison wife and long-distance relationships,0.55,3.0,implicit_positive,653868,1775309271,"13:27, 04/04/2026","[""#prisonwife""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""continued_topic"", ""action_label"": ""Continued the conversation on the same topic"", ""user_message"": null}",none,[],neutral,train,,
Looks for cleaning hacks and home-organization tips,home cleaning and organization,0.55,4.0,implicit_positive,533767,1775309552,"13:32, 04/04/2026","[""#cleaninghacks"", ""#cleaningmotivation""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""requested_more_detail"", ""action_label"": ""Requested more detail on the same topic"", ""user_message"": ""Help me power through my cleaning list tonight — small-bathroom tricks and tackling a toddler-toy avalanche. Stuff that works in under 15 minutes per task, please.""}",none,[],neutral,train,,
Uses humor as a coping mechanism for healthcare work,CNA and healthcare worker culture,0.67,4.0,implicit_positive,17803,1775396722,"13:45, 04/05/2026","[""#CNAlife"", ""#cnalife"", ""#healthcarehumor""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""asked_followup"", ""action_label"": ""Asked a follow-up question showing interest"", ""user_message"": ""Got any short dark-humor med-surg bits I can show my charge nurse tomorrow? Nothing mean, just the 'you had to be there' kind of stuff.""}",none,[],neutral,train,,
Works in or is connected to healthcare (likely CNA or nursing),CNA and healthcare worker culture,0.73,4.0,implicit_positive,17803,1775396722,"13:45, 04/05/2026","[""#CNAlife"", ""#cnalife"", ""#healthcarehumor""]",Chatbot,"{""app"": ""Chatbot"", ""action"": ""continued_topic"", ""action_label"": ""Continued the conversation on the same topic"", ""user_message"": ""While we're on this, any advice on how CNAs typically transition into LPN bridge programs while working full night shifts and raising two kids?""}",none,[],neutral,train,,
Values a sense of local community and belonging,community and local belonging,0.63,14.0,explicit_positive,639773,1775398782,"14:19, 04/05/2026","[""#communityfirst""]",Instagram,"{""app"": ""Instagram"", ""action"": ""liked"", ""action_label"": ""Liked"", ""user_message"": null}",none,[],neutral,train,,
